Subject,Label,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,Pupil,Pupil,Pupil,Pupil,Pupil,Pupil,Pupil,HR,RT
Experiment 814 Participant 1,1,-0.7816734229,-1.0341919714,0.0757755399,0.5186735777,0.4465089069,0.3574784261,-0.3747115879,0.9954610323,1.886621802,-0.7336077731,0.0058512404,-0.195558522,0.0532074344,-0.9007838581,-0.5694886197,-0.1603219947,0.3123453904,0.2382559976,1.8056810005,-1.5443015938,-1.9444667277,0.3569907904,0.5728963311,-0.190239297,-1.323277065,0.4388499353,1.2355556934,0.6994168477,-1.0533908798,-1.5430095128,0.4558314971,0.5917486891,-0.3144970583,-0.7445172598,-0.490234252,-0.2664219105,0.4007758393,-0.1050102875,-1.6419030223,1.8547753107,1.7083626132,1.2545544533,1.6220031551,1.0310585698,0.3026564379,-1.0400222246,-0.4225376143,-1.1075210077,-0.5858137859,-0.6969306564,0.2210426664,0.7363225771,-0.6124113263,-0.9630900803,-0.4067583101,-0.1739406015,1.1440422779,-0.7445172598,0.3968148993,0.5739466626,0.6661257386,0.8195126179,0.7973289419,0.9311248005,0.9445784303,-1.4132608662,-0.2392234357
Experiment 814 Participant 1,1,-0.698959667,-0.3922373523,1.4520733169,1.0147903548,-0.5119566013,-0.5318140959,0.2290082992,0.5577414,-0.62795037,-1.6629685462,-0.9355920452,-1.3820429712,-1.185578055,-0.9009773806,0.9854614771,1.0017857184,0.0759835446,-0.905832703,-1.2808969313,-1.0796841143,1.2718364244,-1.1593702394,-0.7071857574,-1.3240702601,-0.3168579545,-0.153219981,-0.0351396523,1.6276264899,1.5942604228,-1.7194053443,-0.4138315874,0.3063660136,-0.8865448628,-1.7126502666,-2.4648982848,-2.2733507621,-1.328853671,0.3097153078,0.7264886882,1.0480784092,-0.0968141539,-0.0465009713,0.2364698461,0.2016778364,1.4371679063,1.3241843206,1.3381348206,0.6171739142,-0.4742340976,-0.6186160351,0.3588717957,1.9137950723,0.6238543222,-1.5160244614,1.1479615882,-0.139051076,-0.4899363331,-1.7126502666,-1.4634055825,0.50834772,0.3451483333,-0.2407120909,-0.5376497715,-1.4107311684,-1.0254199074,-1.7559358698,-0.2273122143
Experiment 814 Participant 1,1,1.9671207115,0.656166253,1.17115733,1.5412578942,-0.178321576,0.6855383985,1.5173002561,0.4373719289,0.0344742478,-1.6589497542,2.9494747609,1.0997210055,0.6783631234,1.0956593592,-0.1210733239,-0.4262672927,0.0411468726,1.3383747708,0.4465217103,-0.9153837094,-0.3832307479,-2.3713030347,-0.9564035511,0.0272161059,0.8949126077,0.4276552631,-0.7341613972,-0.2168367573,-0.1346892077,-1.7194053443,-1.4286491187,-0.9092000148,-1.7933337255,-1.7126502666,-3.6400472828,-2.2280964539,-0.418118463,0.454936613,-0.6723205645,-0.1728394362,0.7810142957,-0.6909931914,-0.7528145928,0.304771418,-0.5294975908,-0.9030545586,-1.5239496032,-0.4798641897,-1.0391641941,-1.0593983201,0.0660181945,0.3425556428,-0.8432244681,-1.3394063179,-0.8772277323,1.1581996508,-0.7172885903,-1.7126502666,0.2605880578,-0.3054101562,-0.2298298375,0.0486390463,0.2115306696,-0.1805255158,-0.6109987545,-0.515097349,-1.1497089794
Experiment 814 Participant 1,1,2.7333919505,0.661436479,-0.566688859,-1.1174175216,0.5810173158,1.8951974563,0.5970088938,0.1255611184,-1.4363996856,-1.6629735304,0.5068019941,-1.0497553427,-1.1047755514,0.1311613089,0.5311213503,0.2417188218,-0.3219326743,-1.1681063182,-0.0163066217,1.3335778759,0.0561129733,-0.3504708058,0.3889019974,0.9718819103,1.1706766611,1.3693975165,0.8950934746,-1.2146013376,0.5196484086,-1.7194053443,-0.6919880017,0.1379033224,2.1021102769,-1.7126502666,0.8521761412,0.1523919005,-0.6703210726,-0.5153711934,-1.1321086344,0.8230813422,-0.0952621116,1.3885708294,0.3316717033,1.0481693326,-0.0376545942,0.0522102174,1.4661064797,0.2098843361,-0.2095711971,-0.2642178239,1.0139087557,2.5287431114,-0.316677921,-1.5264696747,-1.4641407443,0.1926813666,0.1673501778,-1.7126502666,0.3123786038,0.2546228168,0.1741814244,0.0404186944,-0.1715020404,0.5606855419,0.5895345374,-0.8928300476,1.0384434898
Experiment 814 Participant 1,1,0.0161332744,1.0861650822,-1.1253324226,-0.5851958604,2.8874260152,-0.8564815878,0.0728644197,0.8907450785,0.8607312765,1.1234325672,-1.0483123578,-0.917275133,0.7269326631,0.4145759882,0.3970977022,0.7647363073,0.7454635101,0.7625349007,0.3382590907,1.4690185663,1.0273477975,0.9273056188,0.5771375049,0.5847888074,0.7054654951,0.6536437116,0.3066748978,1.1131981121,1.5730949907,1.2381997299,1.4500666236,2.3614027712,1.0124880981,1.191748754,0.4948866098,0.5450999167,0.2351075788,-0.0370890661,-1.0407425586,0.2324584244,-0.3294041528,-0.1779350043,-0.4679387974,-0.1444735573,-0.180521855,0.4998418722,1.1443525267,0.8329727966,0.0245387559,0.0390665941,-0.1820947614,0.0877880593,-1.2883106928,1.0077935127,-0.9724596389,0.8486765863,2.0931698123,1.191748754,0.6173445193,-0.1206207433,-0.0260271879,-0.0449296132,-0.2502734708,-0.0127402543,1.0768327853,-0.4096766484,0.0403721858
Experiment 814 Participant 1,1,1.2613110606,1.1108043945,-0.9178742393,0.2716566566,0.2538266484,-0.1504671915,-0.182664811,-0.9791377804,0.22017068,-0.7336077731,-0.0908556646,-0.5753272047,0.666744129,0.2878354816,-1.5427430235,0.9835433795,0.9563501306,-0.4075374596,0.4210843534,-0.0689933845,-0.3250201451,-0.3247420027,0.5187724991,0.3691596452,-0.3666139934,-0.0665879156,-1.0528699169,-0.3205405725,-0.2436839255,-0.6682353399,1.2875780172,1.4745434073,0.5832559496,-0.7445172598,-0.5294034473,-0.9259540509,-0.9261926799,-0.411612718,-0.7171275001,-1.9054040142,-2.0891007648,0.2448292817,0.1279073933,0.4682208497,-0.6359508847,-1.085898502,-0.4147868443,-0.7066530901,-0.9252112853,-0.0063909634,1.0577152495,-0.1409857251,0.4283497704,-0.4581699942,0.4593683693,0.6786315348,-0.1205309296,-0.7445172598,0.2834381379,1.1502888635,1.2095667991,-0.6258937771,0.9827773489,1.6258060605,1.8929249252,-0.5769984197,2.0749307701
Experiment 814 Participant 1,1,0.7663855982,1.5999130122,0.5718534039,-0.7927896192,-0.9279339439,-1.4680010664,0.4956028954,1.0412504796,0.7686615389,-0.7336077731,-1.4640908063,-0.74982014,0.331932983,1.067668274,1.9672693078,1.3139214191,0.1100566727,0.5644448803,1.6193151722,1.2522413378,-1.5576946272,-0.7988610348,-1.2121095736,-0.1557920258,-0.4247772722,-0.0704891325,-0.0313615489,-0.5852390586,-2.2578233942,-0.8611518256,0.7516605489,1.014506742,-1.0164702064,-0.7445172598,-0.5802841266,0.5422882358,0.1087516853,-3.5726508618,-2.3971154586,-1.9700936128,-0.6608709266,0.9025927499,0.1332123967,-1.1375661602,-0.9813028735,-1.0787253682,-0.0505362846,0.2240204571,-0.8255716481,-0.6309124858,-0.0504820132,-1.0232430057,0.0182820394,-0.7033779345,0.0979951897,-0.7339787533,-0.0693031487,-0.7445172598,3.0660836348,3.3765848317,2.3359015999,0.4452055265,0.0828994932,0.2173962333,0.0785790857,-0.6652478342,-0.5931499843
Experiment 814 Participant 1,1,-1.2016564634,-0.9429526522,0.8690157396,0.0601600972,0.5334851197,-0.464537814,0.0088327326,0.5064909975,-1.107152083,-0.7336077731,-1.001059798,-1.2395754314,-1.1788641253,-0.2180069018,-0.416422756,0.1529518366,-0.6345337644,-0.4686351916,-1.2102578661,0.4620512039,0.2455861838,0.702857178,-0.6647065072,-2.0302299282,-1.266951345,-0.3482338841,-0.4242999341,-0.3568053756,0.6959448101,-0.7563766957,-0.3462907249,0.2113612524,-0.3602197913,-0.7445172598,0.0301749351,-0.5481665933,-1.0256839234,-0.4595499774,0.2173594625,1.0394831112,2.0839444178,-1.328020839,-1.7724906907,-1.573382618,-0.49660925,-0.9662078762,-0.0807615786,0.2516089505,-1.4275197743,-1.2750305918,-0.4605478856,0.437686371,1.0736787661,-0.6054999147,0.0681534915,-0.1910734992,2.0431913393,-0.7445172598,1.2367991038,-0.9620156303,-0.4701659143,0.2355704658,1.770393742,1.2116809384,0.0959005213,-0.797906486,0.4627532417
Experiment 814 Participant 1,1,0.257374754,1.2608255406,0.3643798388,1.2822907938,1.3064901024,1.4734507799,0.2572656158,1.7281568732,1.6774320891,-0.7336077731,0.3883090049,1.3874265525,1.1369629183,0.5022450378,-0.5973970773,1.5169128399,2.0825490249,0.9307197558,-0.3468665672,-0.0489845153,-0.3392885182,-0.9103220848,-0.1721492914,0.8447106921,0.0880418522,-1.0177868093,-2.0223078306,1.3600812291,-0.5234650759,-0.7606710296,-0.8910718209,0.0327544936,-1.5896780071,-0.7445172598,-1.8432842791,-1.5807260546,-0.552808029,1.2433378681,-0.321348175,0.1448429547,-0.2204110023,1.5432745859,1.3022100652,1.3797327484,0.1622382199,0.053550947,0.6298859622,1.2962054198,-1.0412058531,-1.4124820989,-2.5858310674,0.226418753,1.1054369421,-2.260012295,-0.3745349117,-1.2445580243,-1.07833363,-0.7445172598,-1.8413802797,-0.2300724865,-0.1402021788,0.809621678,0.839712204,0.2706737248,0.8102130222,-1.01383746,0.443441356
Experiment 814 Participant 1,1,1.2764456302,-1.0043659137,-1.1686842498,-1.3709556063,0.8929933126,0.1696297106,0.0004911626,1.1181360625,-0.2505992764,-0.7336077731,-0.8811102954,0.5156902918,0.2536385885,-1.4854444222,-1.4001713108,-1.2503824361,-0.8564693202,-1.9013252697,-2.1096741606,-0.5079133412,-2.1988229698,-0.9896112329,-1.3150929464,0.1551094597,1.7564213742,1.9921100155,1.0345242861,0.3076850529,0.4134686214,-0.7660988879,-2.2464707284,-1.7719474423,0.1527873743,-0.7445172598,-0.76098485,-0.8193143158,-0.5795024403,0.3808825409,1.2767698321,-0.9697254716,-1.3659408864,-0.2701430565,0.7749567784,0.3244377357,1.2837519567,1.2533522841,0.1561100174,-0.16768857,0.1767554623,-0.7377987315,-2.8332928239,-0.6424789207,-0.9609481647,0.549199155,0.3783502313,-1.7703327492,-0.6976028535,-0.7445172598,-1.0111128333,0.4851975862,0.1304267021,-0.517146602,0.8595229423,0.5601803559,-0.6172541847,0.2506868804,-1.1881157942
